상권_구분_코드,상권_코드,상권_코드_명,keyword
A,1000614,개봉로23가길,개봉로23가길
A,1000615,개봉로2길,개봉로2길
A,1000533,신목로6길,신목로6길
A,1000534,신월로15길,신월로15길
A,1000625,공원로6가길,공원로6가길
A,1000034,동호로10길,동호로10길
A,1000035,동호로11길,동호로11길
A,1000036,동호로15길,동호로15길
A,1000384,상계로9가길,상계로9가길
A,1000217,한천로46길,한천로46길
A,1000218,휘경로14길,휘경로14길
A,1000219,휘경로23길,휘경로23길
A,1000220,휘경로2길,휘경로2길
A,1000361,도봉로143길,도봉로143길
A,1000362,도봉로147길,도봉로147길
A,1000834,청룡길,청룡길
A,1000820,신림로64길,신림로64길
A,1000483,성미산로32길,성미산로32길
A,1000484,성산로4길,성산로4길
A,1000847,고무래로8길,고무래로8길
A,1000848,남부순환로317길,남부순환로317길
A,1000849,남부순환로325길,남부순환로325길
A,1000850,남부순환로339길,남부순환로339길
A,1000851,논현로1길,논현로1길
A,1001004,천호대로170길,천호대로170길
A,1001005,천호대로187길,천호대로187길
A,1000424,증산로17길,증산로17길
A,1000391,갈현로33길,갈현로33길
A,1000392,갈현로41길,갈현로41길
A,1000385,석계로1길,석계로1길
A,1000386,한글비석로22길,한글비석로22길
A,1000621,고척로21나길,고척로21나길
A,1000622,고척로27길,고척로27길
A,1000623,고척로27다길,고척로27다길
A,1000862,방배로18길,방배로18길
A,1000246,면목로55길,면목로55길
A,1000023,창신5길,창신5길
A,1000024,창신길,창신길
A,1000146,뚝섬로48길,뚝섬로48길
A,1000147,뚝섬로54길,뚝섬로54길
